"test","estimate","p_value","conf_low","conf_high"
"t-test",0.492090055338542,0.74683248280416,0.486798306086081,0.497381804591003
"linear_regression",5.90018096974785e-05,0.546142767291729,-0.000151434622785718,0.000269438242180675
